SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species;PetalRatio;Taille
5.7;3.0;4.2;1.2;versicolor;3.5000000000000004;medium
5.9;3.0;4.2;1.5;versicolor;2.8000000000000003;medium
5.6;2.7;4.2;1.3;versicolor;3.230769230769231;medium
5.6;3.0;4.1;1.3;versicolor;3.1538461538461533;medium
5.8;2.7;4.1;1.0;versicolor;4.1;medium
5.7;2.8;4.1;1.3;versicolor;3.1538461538461533;medium
5.5;2.3;4.0;1.3;versicolor;3.0769230769230766;medium
5.8;2.6;4.0;1.2;versicolor;3.3333333333333335;medium
5.5;2.5;4.0;1.3;versicolor;3.0769230769230766;medium
6.1;2.8;4.0;1.3;versicolor;3.0769230769230766;medium
6.0;2.2;4.0;1.0;versicolor;4.0;medium
5.8;2.7;3.9;1.2;versicolor;3.25;medium
5.6;2.5;3.9;1.1;versicolor;3.545454545454545;medium
5.2;2.7;3.9;1.4;versicolor;2.785714285714286;medium
5.5;2.4;3.8;1.1;versicolor;3.454545454545454;medium
5.5;2.4;3.7;1.0;versicolor;3.7;medium
5.6;2.9;3.6;1.3;versicolor;2.769230769230769;medium
5.7;2.6;3.5;1.0;versicolor;3.5;medium
5.0;2.0;3.5;1.0;versicolor;3.5;medium
5.0;2.3;3.3;1.0;versicolor;3.3;medium
5.1;2.5;3.0;1.1;versicolor;2.727272727272727;medium
5.1;3.8;1.9;1.348780487804878;setosa;4.749999999999999;medium
5.4;3.9;1.7;0.4;setosa;4.25;medium
5.7;3.8;1.7;0.3;setosa;5.666666666666667;medium
5.4;3.4;1.7;0.2;setosa;8.5;medium
5.1;3.3;1.7;0.5;setosa;3.4;medium
5.0;3.0;1.6;0.2;setosa;8.0;medium
5.1;3.8;1.6;0.2;setosa;8.0;medium
5.0;3.5;1.6;0.6;setosa;2.666666666666667;medium
5.0;3.4;1.6;0.4;setosa;4.0;medium
5.4;3.7;1.5;0.2;setosa;7.5;medium
5.0;3.4;1.5;0.2;setosa;7.5;medium
5.1;3.8;1.5;0.3;setosa;5.0;medium
5.7;4.4;1.5;0.4;setosa;3.75;medium
5.1;3.7;1.5;0.4;setosa;3.75;medium
5.2;3.5;1.5;0.2;setosa;7.5;medium
5.3;3.7;1.5;0.2;setosa;7.5;medium
5.2;4.1;1.5;0.1;setosa;15.0;medium
5.1;3.4;1.5;0.2;setosa;7.5;medium
5.4;3.4;1.5;0.4;setosa;3.75;medium
5.1;3.5;1.4;0.3;setosa;4.666666666666667;medium
5.0;3.6;1.4;0.2;setosa;6.999999999999999;medium
5.1;3.5;1.4;0.2;setosa;6.999999999999999;medium
5.5;4.2;1.4;0.2;setosa;6.999999999999999;medium
5.0;3.3;1.4;0.2;setosa;6.999999999999999;medium
5.2;3.4;1.4;0.2;setosa;6.999999999999999;medium
5.4;3.9;1.3;0.4;setosa;3.25;medium
5.0;3.5;1.3;0.3;setosa;4.333333333333334;medium
5.5;3.5;1.3;0.2;setosa;6.5;medium
5.8;4.0;1.2;0.2;setosa;5.999999999999999;medium
5.0;3.2;1.2;0.2;setosa;5.999999999999999;medium
